"","n"
"1",446
"2",465
"3",440
"4",421
"5",503
"6",370
"7",458
"8",319
"9",419
"10",367
"11",368
"12",408
"13",343
"14",395
"15",357
"16",349
"17",323
"18",227
"19",237
"20",239
"21",262
"22",313
"23",254
"24",334
"25",289
"26",314
"27",284
"28",290
"29",255
"30",258
"31",189
"32",194
"33",203
"34",192
"35",257
"36",265
"37",161
"38",182
"39",177
"40",109
"41",138
"42",133
"43",121
"44",119
"45",107
"46",160
"47",142
"48",160
"49",62
"50",43
"51",105
"52",70
"53",62
"54",68
"55",63
"56",47
"57",36
"58",88
"59",58
"60",94
